z,z_err_p,z_err_n,ratio,ratio_err_p,ratio_err_n,oh12,oh12_err_p,oh12_err_n
0.6176699026198331,0.0873031664480329,0.0873031664480329,0.13,0.09,0.08,8.840756439860309,0.057416086806812316,0.06618016192597764
0.9101355102207436,0.1091289580600411,0.1091289580600411,0.35,0.11,0.11,9.009106059309776,0.04918082559235515,0.055469990721668694
1.3182778133652977,0.1527805412840576,0.1527805412840576,0.59,0.13,0.11,9.17000694295715,0.04762295791418936,0.05349568159257423
1.8551922870207005,0.2182579161200823,0.2182579161200823,0.64,0.14,0.11,9.318388930050311,0.048304679574554754,0.05435766232259276
2.6409207850529968,0.2182579161200823,0.2182579161200823,0.64,0.15,0.15,9.471755374652469,0.03448592533931283,0.03746239152979314
