z,z_err_p,z_err_n,ratio,ratio_err_p,ratio_err_n
1.4149999999999998,0.2,0.2,0.13,0.09,0.08
2.085,0.25,0.25,0.35,0.11,0.11
3.02,0.35,0.35,0.59,0.13,0.11
4.25,0.5,0.5,0.64,0.14,0.11
6.05,0.5,0.5,0.64,0.15,0.15
